Unnamed: 0,Country/Continent,Arrivals,gdp_per_capita,gdp,inflation,unemployment,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,Exchange Rate/TWI,date,TWI,FX_neg,TWI_est
2731,Austria,1020,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3180196335804477,0.2813222162651827,0.1899391765728124,0.0652788818842321,0.0269176018191566,0.0604536799097816,0.0580688099683866,0.0388611573303753,0.0995378073581068,0.2438898132741726,0.487058606026992,0.0315400258827879,0.055592530966907,0.0435200591606581,,,,,,,71.9,2014-08-01,71.9,-4.275276264727001,71.9
2732,Austria,1100,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3071202683277432,0.2771058936272161,0.1801629132726401,0.0783708672735984,0.0322759942501197,0.0603929084810733,0.064571154767609,0.0431632613945643,0.097347337754437,0.2774945375091041,0.4668608885651857,0.0364357726070456,0.0349407750987081,0.0437574270709548,,,,,,,68.9,2014-09-01,68.9,-4.232656178019613,68.9
2733,Austria,1560,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3222936233316856,0.2695552866176897,0.1780728518587962,0.0779654661053062,0.0353179811478343,0.0563519525457241,0.0604428383929636,0.0387788497596563,0.1013022875259946,0.2583608904646644,0.4530392390822623,0.0494494255616541,0.0447789179422493,0.0542903896635189,,,,,,,69.4,2014-10-01,69.4,-4.239886867512759,69.4
2734,Austria,1640,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3357056379045188,0.2712443964529956,0.1729655443211936,0.078024279310232,0.0384640554955662,0.0553974019174765,0.048198684598017,0.048148814685143,0.1038561588927245,0.2724506323315282,0.451204947401142,0.0426517023051879,0.03334260425699,0.0483451401272843,,,,,,,68.2,2014-11-01,68.2,-4.222444564849416,68.2
2735,Austria,2400,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.2057696808445117,0.2447433575994974,0.3143761624970745,0.1264304103075767,0.0341327617851027,0.0437283667762955,0.0308192601899412,0.0121206148994875,0.0435430626724477,0.3817254631454473,0.4667422152148207,0.0412642885297595,0.0222950335041387,0.0323093220338983,,,,,,,66.5,2014-12-01,66.5,-4.197201947661808,66.5
2736,Austria,1700,43915.228020857,379546097300.633,0.89656333526032,5.802,0.260873536342546,0.2189503680835905,0.1974681694463219,0.1000858557258462,0.0439325575872714,0.0779825731143707,0.1007069397000529,0.0199660230531757,0.0759914509617668,0.2851871472151691,0.418153919222549,0.0591308477796247,0.0872440312003361,0.0543265805673784,,,,,,,63.9,2015-01-01,63.9,-4.157319361383489,63.9
2737,Austria,1780,43915.228020857,379546097300.633,0.89656333526032,5.802,0.2655703385395146,0.2814367958570917,0.1949150207971793,0.0826377985290471,0.0269812412197339,0.0633831914717791,0.085075613585654,0.019902210591557,0.074416362509469,0.2520074375043041,0.4721575649059982,0.0430686591832518,0.1016458921561875,0.0368018731492321,,,,,,,64.1,2015-02-01,64.1,-4.160444363926624,64.1
2738,Austria,1640,43915.228020857,379546097300.633,0.89656333526032,5.802,0.3067410602558629,0.2599702621932369,0.2040572968039218,0.0745358988325702,0.0280742561867887,0.0573704123544393,0.06925081337318,0.0243493110352137,0.0881227181721823,0.2904104345777882,0.4539365210222588,0.0354934636674125,0.0632139912848898,0.0444735602402543,,,,,,,63.3,2015-03-01,63.3,-4.147885329150131,63.3
2739,Austria,980,43915.228020857,379546097300.633,0.89656333526032,5.802,0.3202217577024447,0.2928292283922566,0.1708443151867672,0.0700354448786694,0.0320639825502135,0.0531127874216122,0.0608924838680359,0.031917987494547,0.0897738839610295,0.2893521884542678,0.4497964228588047,0.0474770975716155,0.0477860985895012,0.0438963210702341,,,,,,,65.3,2015-04-01,65.3,-4.178992036282385,65.3
2740,Austria,650,43915.228020857,379546097300.633,0.89656333526032,5.802,0.3758107356847242,0.2769164247328433,0.1496077583544382,0.0626351226141207,0.0298556633104783,0.0517017728086972,0.053472522494698,0.0376806819585718,0.1147922414858131,0.2657002841494049,0.4425112218424412,0.0522381913272659,0.0389367046905242,0.0481406745459786,,,,,,,63.7,2015-05-01,63.7,-4.154184562578117,63.7
