year_month,state,arrivals
1998-09,VIC,48670
1998-09,SA,5640
1998-10,NSW,142370
1998-10,QLD,103140
1998-10,TAS,1840
1998-10,ACT,1670
1998-10,NT,5610
1998-10,WA,35710
1998-10,VIC,56360
1998-10,SA,6980
1998-11,NSW,150000
1998-11,QLD,101040
1998-11,TAS,1930
1998-11,ACT,2420
1998-11,NT,3780
1998-11,WA,38800
1998-11,VIC,59560
1998-11,SA,9310
1998-12,NSW,185430
1998-12,QLD,122590
1998-12,TAS,3880
1998-12,ACT,3230
1998-12,NT,4380
1998-12,WA,47400
1998-12,VIC,76160
1998-12,SA,13180
1999-01,NSW,143420
1999-01,QLD,99240
1999-01,TAS,2840
1999-01,ACT,2170
1999-01,NT,3400
1999-01,WA,33950
1999-01,VIC,56450
1999-01,SA,8660
1999-02,NSW,168570
1999-02,QLD,101990
1999-02,TAS,2710
1999-02,ACT,2970
1999-02,NT,4010
1999-02,WA,41510
1999-02,VIC,65440
1999-02,SA,10360
1999-03,NSW,164200
1999-03,QLD,104610
1999-03,TAS,2310
1999-03,ACT,3090
1999-03,NT,3510
1999-03,WA,38090
1999-03,VIC,63520
1999-03,SA,8530
1999-04,NSW,143260
1999-04,QLD,95870
1999-04,TAS,1420
1999-04,ACT,2360
1999-04,NT,2810
1999-04,WA,32380
1999-04,VIC,47940
1999-04,SA,7190
1999-05,NSW,118190
1999-05,QLD,96570
1999-05,TAS,1270
1999-05,ACT,1850
1999-05,NT,4260
1999-05,WA,27520
1999-05,VIC,40910
1999-05,SA,6670
1999-06,NSW,118770
1999-06,QLD,110800
1999-06,TAS,850
1999-06,ACT,2400
1999-06,NT,4440
1999-06,WA,28140
1999-06,VIC,43700
1999-06,SA,6750
1999-07,NSW,154400
1999-07,QLD,125830
1999-07,TAS,1060
1999-07,ACT,3530
1999-07,NT,7990
1999-07,WA,33110
1999-07,VIC,53990
1999-07,SA,8550
1999-08,NSW,146360
1999-08,QLD,118290
1999-08,TAS,1020
1999-08,ACT,1850
1999-08,NT,5150
1999-08,WA,33000
1999-08,VIC,42860
1999-08,SA,7090
1999-09,NSW,141040
1999-09,QLD,112130
1999-09,TAS,1300
1999-09,ACT,2950
1999-09,NT,6380
1999-09,WA,36070
1999-09,VIC,45410
1999-09,SA,7780
1999-10,NSW,153580
1999-10,QLD,114680
1999-10,TAS,1260
1999-10,ACT,2700
1999-10,NT,7370
1999-10,WA,40540
1999-10,VIC,64960
1999-10,SA,11860
1999-11,NSW,177560
1999-11,QLD,112260
1999-11,TAS,2180
1999-11,ACT,3040
1999-11,NT,4580
1999-11,WA,45770
1999-11,VIC,60860
1999-11,SA,10380
1999-12,NSW,199780
1999-12,QLD,117590
1999-12,TAS,3330
1999-12,ACT,3450
1999-12,NT,4930
1999-12,WA,44350
1999-12,VIC,71350
1999-12,SA,15770
2000-01,NSW,155900
2000-01,QLD,88620
2000-01,TAS,2880
2000-01,ACT,3240
2000-01,NT,3270
2000-01,WA,36980
2000-01,VIC,60170
2000-01,SA,9740
2000-02,NSW,190020
2000-02,QLD,107660
2000-02,TAS,5620
2000-02,ACT,3280
2000-02,NT,4660
2000-02,WA,41690
2000-02,VIC,70240
2000-02,SA,11400
2000-03,NSW,174210
2000-03,QLD,104280
2000-03,TAS,2400
2000-03,ACT,3160
2000-03,NT,5990
2000-03,WA,38910
2000-03,VIC,70440
2000-03,SA,12370
2000-04,NSW,177090
2000-04,QLD,113620
2000-04,TAS,2110
2000-04,ACT,3530
2000-04,NT,4740
2000-04,WA,35310
2000-04,VIC,57450
2000-04,SA,11710
2000-05,NSW,137840
2000-05,QLD,95140
2000-05,TAS,1020
2000-05,ACT,2400
2000-05,NT,4840
2000-05,WA,27370
2000-05,VIC,44090
2000-05,SA,6550
2000-06,NSW,137230
2000-06,QLD,115840
2000-06,TAS,950
2000-06,ACT,3710
2000-06,NT,6490
2000-06,WA,30360
2000-06,VIC,44130
2000-06,SA,9140
2000-07,NSW,177050
2000-07,QLD,129700
2000-07,TAS,1240
2000-07,ACT,5000
2000-07,NT,8530
2000-07,WA,36640
2000-07,VIC,60560
2000-07,SA,10230
2000-08,NSW,154200
2000-08,QLD,117080
2000-08,TAS,1480
2000-08,ACT,2590
2000-08,NT,5240
2000-08,WA,30580
2000-08,VIC,54180
2000-08,SA,7250
2000-09,NSW,222370
2000-09,QLD,90230
2000-09,TAS,1150
2000-09,ACT,5430
2000-09,NT,3660
2000-09,WA,26930
2000-09,VIC,47200
2000-09,SA,5880
2000-10,NSW,184950
2000-10,QLD,115220
2000-10,TAS,2900
2000-10,ACT,3440
2000-10,NT,5780
2000-10,WA,36480
2000-10,VIC,69020
2000-10,SA,8620
2000-11,NSW,194410
2000-11,QLD,120840
2000-11,TAS,3020
2000-11,ACT,3030
2000-11,NT,4910
2000-11,WA,46240
2000-11,VIC,78130
2000-11,SA,8660
2000-12,NSW,237720
2000-12,QLD,135500
2000-12,TAS,5900
2000-12,ACT,4660
2000-12,NT,4280
2000-12,WA,65620
2000-12,VIC,89380
2000-12,SA,16660
